,cell_id,Cre,area,expt_id,signal_correlation_dg,signal_correlation_nm3,number_cells,imaging_depth,age,sex,numbercells
64,662235974,Slc17a7,VISl,646016202,0.15632033311019,0.0247621706484591,,375.0,97.0,female,67.0
65,701720754,Slc17a7,VISp,688678764,0.2668816868230499,0.13856405402880295,,205.0,139.0,male,475.0
66,696523137,Slc17a7,VISp,680156909,0.22466545363147025,0.12230941329362446,,175.0,86.0,female,337.0
67,662074297,Slc17a7,VISal,604576635,0.09834921917523615,0.04551786981053013,,175.0,111.0,male,41.0
68,662166177,Slc17a7,VISal,639253041,0.1253727154330958,0.044677373060375176,,275.0,103.0,male,182.0
69,688141443,Slc17a7,VISl,672207945,0.17235429796078974,0.03047229460043835,,275.0,108.0,female,257.0
70,662800172,Slc17a7,VISpm,657391035,0.11886860969144766,0.019882730201426297,,275.0,128.0,male,97.0
71,662165750,Slc17a7,VISal,639253041,0.1253727154330958,0.044677373060375176,,275.0,103.0,male,182.0
72,662217845,Slc17a7,VISam,627823721,0.08911177414475353,0.036001403979389425,,175.0,90.0,male,82.0
73,662218200,Slc17a7,VISam,627823721,0.08911177414475353,0.036001403979389425,,175.0,90.0,male,82.0
74,574411182,Rbp4,VISl,572606380,0.08573686887176316,0.00618789979093386,,375.0,112.0,male,52.0
75,517476255,Rbp4,VISp,511510896,0.15521670593859294,0.018556158606976302,,375.0,89.0,female,79.0
76,588823848,Rbp4,VISal,511510710,0.059346774106714,0.03155286143428841,,375.0,99.0,female,96.0
77,662252963,Rbp4,VISp,649401934,0.1485539134162611,0.010099356952586387,,375.0,90.0,male,55.0
78,583870410,Rbp4,VISal,572376866,-0.0048546618720346916,0.03825922698304903,,375.0,111.0,female,7.0
79,662253150,Rbp4,VISp,649401934,0.1485539134162611,0.010099356952586387,,375.0,90.0,male,55.0
80,592776630,Rbp4,VISp,588503721,0.2086558313613947,0.013334947462565484,,375.0,145.0,female,21.0
81,577255906,Rbp4,VISam,575302106,0.03444212523154468,0.022208602715761305,,375.0,123.0,female,32.0
82,517419646,Rbp4,VISpm,511510658,0.03793018221963034,0.020917940778379603,,375.0,116.0,female,101.0
83,560389890,Rbp4,VISpm,554014018,0.029743799408182153,0.021250985698360758,,375.0,99.0,female,91.0
84,591398687,Rbp4,VISrl,588191924,0.03456908381511785,0.022893082309073907,,375.0,125.0,female,29.0
85,597285042,Rbp4,VISrl,595718340,0.02560816892299111,0.16789914503830303,,375.0,108.0,male,21.0
86,577256154,Rbp4,VISam,575302106,0.03444212523154468,0.022208602715761305,,375.0,123.0,female,32.0
87,661951006,Fezf2,VISl,609198028,0.13758122969506972,0.0372946667365557,,375.0,128.0,female,165.0
88,662193560,Fezf2,VISl,639929073,0.2160591427994633,0.09108482952931837,,400.0,106.0,male,103.0
89,661946925,Fezf2,VISl,606872639,0.13598777119887118,0.04887567694832028,,375.0,127.0,female,105.0
90,662190984,Fezf2,VISp,637998953,0.20139979165162497,0.035435871799731296,,400.0,94.0,male,99.0
91,662194072,Fezf2,VISp,637998953,0.20139979165162497,0.035435871799731296,,400.0,94.0,male,99.0
92,687966056,Fezf2,VISp,674802081,0.14926398495217147,0.03984905297320717,,390.0,89.0,male,80.0
93,662089337,Fezf2,VISp,616886391,0.23341034533615163,0.035008329002345705,,400.0,103.0,male,52.0
94,669928541,Tlx3,VISl,657391623,0.18434946120910756,0.03119294660733785,,375.0,119.0,male,275.0
95,662234718,Tlx3,VISl,643667453,0.12028111850458598,0.033381239752777465,,375.0,108.0,male,184.0
96,662175532,Tlx3,VISp,637669268,0.2727626155206374,0.018776134441815282,,375.0,90.0,male,128.0
97,662175289,Tlx3,VISp,637669268,0.2727626155206374,0.018776134441815282,,375.0,90.0,male,128.0
98,661978083,Tlx3,VISp,637671552,0.2595664865797343,0.02968587587698845,,375.0,90.0,female,171.0
99,669923276,Tlx3,VISl,657391623,0.18434946120910756,0.03119294660733785,,375.0,119.0,male,275.0
100,661965971,Tlx3,VISp,617381603,0.16845076552711832,0.018852814989360468,,375.0,95.0,female,103.0
101,541513979,Emx1,VISp,536323956,0.25423116283754355,0.07977039598639278,,175.0,121.0,male,290.0
102,574976872,Emx1,VISam,566458503,0.055929334254048536,0.029455557374535757,,175.0,108.0,male,105.0
103,583828735,Emx1,VISrl,575710989,0.06734542863168907,0.03383990662435358,,275.0,115.0,male,235.0
104,584575014,Emx1,VISpm,561463418,0.0755910047420162,0.025677288428560527,,175.0,144.0,female,133.0
105,562753338,Emx1,VISp,561312433,0.08155813271342427,0.05528569602892657,,275.0,87.0,female,302.0
106,589214359,Emx1,VISal,564791547,0.10086062950098967,0.0729433078940123,,265.0,116.0,male,254.0
107,606133950,Emx1,VISp,595806298,0.20447976177898078,0.059775945608281034,,375.0,113.0,male,143.0
108,562403084,Emx1,VISal,560753319,0.06461423063362993,0.0990051023808809,,175.0,83.0,female,176.0
109,591418765,Emx1,VISl,584155531,0.16818694777302645,0.038676151199251683,,275.0,113.0,male,102.0
110,574976872,Emx1,VISam,566458503,0.055929334254048536,0.029455557374535757,,175.0,108.0,male,105.0
111,585736587,Emx1,VISl,583136565,0.13456628058864722,0.03272885766888184,,175.0,104.0,male,49.0
112,578387999,Emx1,VISl,573261513,0.13788399795551368,0.0450165170820953,,275.0,87.0,male,327.0
113,570927169,Emx1,VISal,562536151,0.09685288178355338,0.06986007086670863,,375.0,111.0,female,123.0
114,605627126,Emx1,VISp,595263152,0.15976656495441885,0.06054502257201516,,375.0,122.0,male,221.0
115,562753051,Emx1,VISp,561312433,0.08155813271342427,0.05528569602892657,,275.0,87.0,female,302.0
