,cell_id,Cre,area,expt_id,signal_correlation_dg,signal_correlation_nm3,number_cells,imaging_depth,age,sex,numbercells
0,598998745,Sst,VISl,597028936,0.35121026913019643,0.0745393538348721,,375.0,105.0,female,12.0
1,662056046,Sst,VISp,612044633,0.3832542149008148,0.1397119205998549,,265.0,98.0,male,8.0
2,662098491,Sst,VISpm,639117194,0.11593636022081612,0.11518353728960953,,375.0,98.0,male,7.0
3,606133820,Sst,VISpm,601273919,0.23863010570387364,0.08212023725736996,,275.0,117.0,female,12.0
4,662099083,Sst,VISl,593337825,0.32707928081967225,0.22411612010319507,,275.0,138.0,female,17.0
5,599563551,Sst,VISl,580095653,0.3045192958946146,0.27986088763514927,,275.0,115.0,male,20.0
6,591460894,Sst,VISp,575827179,0.2639128171732313,0.16319102009262287,,285.0,100.0,male,15.0
7,662148781,Sst,VISpm,639251930,0.19996533285347393,0.16348456866952385,,375.0,97.0,female,11.0
8,588875049,Rorb,VISal,511500480,0.09683430720474227,0.02703447163985702,,275.0,81.0,female,87.0
9,573126313,Rorb,VISl,546085409,0.07473357275492788,0.024173466804584907,,275.0,92.0,male,191.0
10,591013763,Rorb,VISp,586351979,0.24467598825443668,0.06363491940293882,,275.0,106.0,male,237.0
11,540765252,Rorb,VISp,530739574,0.14841919007330773,0.02460519920722102,,275.0,114.0,female,171.0
12,517526775,Rorb,VISp,511510675,0.10621435904790487,0.02704085304546959,,275.0,105.0,male,284.0
13,557828648,Rorb,VISl,547561986,0.022174361097766146,0.016415640305470845,,275.0,109.0,female,121.0
14,576381858,Rorb,VISal,569396922,0.017506892227145018,0.01598970871136044,,275.0,125.0,female,89.0
15,541217848,Nr5a1,VISp,528792730,0.16768422330970825,0.0158924981722841,,350.0,102.0,female,51.0
16,593577724,Nr5a1,VISp,592655325,0.08602846479481381,0.019426998619931045,,350.0,113.0,male,14.0
17,541019857,Nr5a1,VISp,529763300,0.055128640480476755,0.010947985549411366,,350.0,96.0,female,58.0
18,565401581,Nr5a1,VISl,554219902,0.07812974787691675,0.029022043732158467,,350.0,96.0,male,65.0
19,559114390,Nr5a1,VISal,546328009,0.09584516251232802,0.02589554759657119,,350.0,109.0,male,29.0
20,565402174,Nr5a1,VISal,556639822,0.0782703651887638,0.035847744336247954,,350.0,115.0,male,42.0
21,541216967,Nr5a1,VISp,528792730,0.16768422330970825,0.0158924981722841,,350.0,102.0,female,51.0
22,566994847,Scnn1a,VISp,546724786,0.09622190808909005,0.029161854731887264,,350.0,104.0,female,110.0
23,517407030,Scnn1a,VISp,511507811,0.2202113334854837,0.023018152735916536,,350.0,105.0,male,150.0
24,517406587,Scnn1a,VISp,511507811,0.2202113334854837,0.023018152735916536,,350.0,105.0,male,150.0
25,539773680,Scnn1a,VISp,528889127,0.09550008860639665,0.017860439145460576,,350.0,119.0,female,109.0
26,679402754,Ntsr1,VISl,670395723,0.03566171019007451,0.008766870267971663,,625.0,94.0,female,52.0
27,662207541,Ntsr1,VISp,627823692,0.03743802214868649,0.04735952905191328,,550.0,89.0,female,21.0
28,677051373,Ntsr1,VISl,669237513,0.03126209218265965,0.0389636477926623,,625.0,89.0,male,61.0
29,677050282,Ntsr1,VISl,669237513,0.03126209218265965,0.0389636477926623,,625.0,89.0,male,61.0
30,711319643,Ntsr1,VISl,696503438,0.055425968655560126,0.02741348294583121,,550.0,98.0,female,167.0
31,679400901,Ntsr1,VISl,670395723,0.03566171019007451,0.008766870267971663,,625.0,94.0,female,52.0
32,728680216,Pvalb,VISp,710327593,0.34376691321468683,0.3713224968119521,,375.0,87.0,male,10.0
33,688135812,Pvalb,VISp,671618885,0.6348965979317398,0.25750812737051815,,275.0,103.0,male,16.0
34,686731374,Pvalb,VISp,669876048,0.43264725941163207,0.1732272294918708,,275.0,78.0,female,10.0
35,662258392,Vip,VISpm,647598517,0.1320135054003522,0.10869663688649242,,175.0,84.0,male,18.0
36,662260139,Vip,VISpm,650389905,0.4561017870782388,0.35315610816674575,,275.0,115.0,female,15.0
37,559108145,Cux2,VISal,555700037,0.059292208872309966,0.07181532512911223,,175.0,93.0,male,47.0
38,517441606,Cux2,VISl,511510917,0.08885080314174779,0.01883810007487593,,175.0,88.0,female,188.0
39,662233417,Cux2,VISp,645413757,0.20042009975991895,0.07128983021002644,,275.0,90.0,male,226.0
40,729434571,Cux2,VISp,701412138,0.17274574544831178,0.02049088365887009,,175.0,112.0,male,95.0
41,587435695,Cux2,VISp,511507650,0.28129986791367406,0.019743644145167605,,175.0,112.0,male,205.0
42,517418076,Cux2,VISpm,511510645,0.04567414421565501,0.029821376930200143,,175.0,97.0,male,90.0
43,517474981,Cux2,VISal,511510998,0.02727227295741463,0.022937248416664,,175.0,88.0,male,76.0
44,595918043,Cux2,VISrl,591392164,0.030852403683770627,0.02716228840765792,,175.0,115.0,female,69.0
45,720344491,Cux2,VISp,702934962,0.19411514983521513,0.03394800184509546,,275.0,106.0,male,140.0
46,517410158,Cux2,VISp,511509529,0.31390622056485806,0.025808109826234903,,175.0,101.0,female,215.0
47,662231976,Cux2,VISp,645413757,0.20042009975991895,0.07128983021002644,,275.0,90.0,male,226.0
48,662134538,Cux2,VISal,638056632,0.16844961315671694,0.08649695591852706,,275.0,91.0,male,162.0
49,662136413,Cux2,VISal,638056632,0.16844961315671694,0.08649695591852706,,275.0,91.0,male,162.0
50,559108271,Cux2,VISal,556936291,0.04124750012900074,0.08292356537942368,,275.0,102.0,male,168.0
51,517442455,Cux2,VISl,511510917,0.08885080314174779,0.01883810007487593,,175.0,88.0,female,188.0
52,670075018,Cux2,VISrl,662351162,0.06839398762537552,0.04878941652780328,,175.0,126.0,male,82.0
53,569636748,Cux2,VISl,529487170,0.14572484037883876,0.03218158852862175,,275.0,123.0,male,115.0
54,517436810,Cux2,VISpm,511510836,0.08601338471359433,0.029941323292458896,,275.0,85.0,female,232.0
55,517478266,Cux2,VISpm,511510822,0.12790973925916121,0.024490408739690793,,175.0,103.0,male,167.0
56,517521729,Cux2,VISal,511856567,0.04405020258287208,0.0479465188890675,,275.0,100.0,male,286.0
57,529012163,Cux2,VISp,524691282,0.05636138403920501,0.04707598764584961,,275.0,103.0,female,264.0
58,517517035,Cux2,VISp,511510699,0.09637045022293977,0.030484564556943254,,275.0,97.0,male,318.0
59,701720779,Slc17a7,VISp,688678764,0.2668816868230499,0.13856405402880295,,205.0,139.0,male,475.0
60,662074297,Slc17a7,VISal,604576635,0.09834921917523615,0.04551786981053013,,175.0,111.0,male,41.0
61,662238851,Slc17a7,VISl,646016202,0.15632033311019,0.0247621706484591,,375.0,97.0,female,67.0
62,696524821,Slc17a7,VISp,682734790,0.27531464050423354,0.10755152920272429,,205.0,94.0,female,296.0
63,673451250,Slc17a7,VISp,661732156,0.3679043636887093,0.08548903800139711,,175.0,103.0,male,107.0
